
Airport Code	Airport	Country	City	City Code
ADL	ADELAIDE INT’L	AUSTRALIA	ADELAIDE	ADL
AEP	AEROPARQUE JORGE NEWBERY	ARGENTINA	BUENOS AIRES	BUE
AKL	AUCKLAND INT’L	NEW ZEALAND	AUCKLAND	AKL
AMS	AMSTERDAM-SCHIPHOL	NETHERLANDS	AMSTERDAM	AMS
ARN	ARLANDA	SWEDEN	STOCKHOLM	STO
ATH	ATHINAI	GREECE	ATHENS	ATH
ATL	HARTSFIELD ATLANTA INT’L	U.S.A.	ATLANTA	ATL
AUH	ABU DHABI INT’L	U.A.E.	ABU DHABI	AUH
BAH	BAHRAIN INT’L	BAHRAIN	BAHRAIN	BAH
BCN	BARCELONA EL PRAT	SPAIN	BARCELONA	BCN
BEY	BEIRUT INT’L	LEBANON	BEIRUT	BEY
BHX	BIRMINGHAM INT’L	U.K.	BIRMINGHAM	BHX
BKK	SUVANARBHUMI INT’L	THAILAND	BANGKOK	BKK
BMA	BROMMA	SWEDEN	STOCKHOLM	STO
BNE	BRISBANE INT’L	AUSTRALIA	BRISBANE	BNE
BOS	LOGAN INT’L	U.S.A.	BOSTON	BOS
BRE	BREMEN	GERMANY	BREMEN	BRE
BRU	BRUSSELS NATIONAL	BELGIUM	BRUSSELS	BRU
BSL	BASEL	SWITZERLAND	BASEL	BSL
CAI	CAIRO INT’L	EGYPT	CAIRO	CAI
CAN	BAIYUN INT’L	CHINA	GUANGZHOU	CAN
CCS	SIMON BOLIVAR	VENEZUELA	CARACAS	CCS
CCU	NETAJI SUBHAS CHANDRA BOSE INT’L	INDIA	CALCUTTA	CCU
CDG	CHARLES DE GAULLE	FRANCE	PARIS	PAR
CGH	CONGONHAS	BRAZIL	SAO PAULO	SAO
CGK	SOEKARNO-HATTA	INDONESIA	JAKARTA	JKT
CGN	COLOGNE/BONN	GERMANY	COLOGNE	CGN
CGX	MEIGS FIELD	U.S.A.	CHICAGO	CHI
CHC	CHRISTCHURCH INT’L	NEW ZEALAND	CHRISTCHURCH	CHC
CLE	CLEVELAND HOPKINS INT’L	U.S.A.	CLEVELAND	CLE
CMB	BANDAANAYAKE INT’L	SRI LANKA	COLOMBO	CMB
CPH	COPENHAGEN	DENMARK	COPENHAGEN	CPH
CPT	CAPE TOWN INT’L	S. AFRICA	CAPE TOWN	CPT
CTS	NEW CHITOSE	JAPAN	SAPPORO	SPK
DAL	LOVE FIELD	U.S.A.	DALLAS	DAL
DCA	NATIONAL	U.S.A.	WASHINGTON DC	WAS
DEL	INDIRA GANDHI INT’L	INDIA	DELHI	DEL
DEN	DENVER INT’L	U.S.A.	DENVER	DEN
DET	CITY AIRPORT	U.S.A.	DETROIT	DTT
DFW	DALLAS/FORTWORTH INT’L	U.S.A.	DALLAS	DAL
DLC	DALIAN ZHOUSHUIZI INT’L	CHINA	DALIAN	DLC
DPS	NGURAH RAI	INDONESIA	DENPASAR	DPS
DTW	WAYNE COUNTY	U.S.A.	DETROIT	DTT
DUB	DUBLIN	IRELAND	DUBLIN	DUB
DUS	RHEINE-RUHR	GERMANY	DUSSELDORF	DUS
DXB	DUBAI INT’l	U.A.E.	DUBAI	DXB
EWR	NEWARK	U.S.A.	NEW YORK CITY	NYC
EZE	MINISTRO PISTARINI	ARGENTINA	BUENOS AIRES	BUE
FBU	GARDENMOEN	NORWAY	OSLO	OSL
FCO	LEONARDO DA VINCI(FIUMICINO)	ITALY	ROME	ROM
FRA	FRANKFURT INT’L	GERMANY	FANKFURT	FRA
FUK	FUKUOKA	JAPAN	FUKUOKA	FUK
GIG	RIO DE JANEIRO INT’L	BRAZIL	RIO DE JANEIRO	RIO
GLA	GLASGOW INT’L	U.K.	GALSGOW	GLA
GOT	LANDVETTER	SWEDEN	GOTHENBURG	GOT
GRU	GUARULHOS INT’L	BRAZIL	SAO PAULO	SAO
GVA	GENEVA COINTRIN	SWITZERLAND	GENEVA	GVA
HAJ	HANOVER	GERMANY	HANOVER	HAJ
HAM	HAMBURG	GERMANY	HAMBURG	HAM
HAN	NOI BAI	VIETNAM	HANOI	HAN
HEL	HELSINKI-VANTAAN	FINLAND	HELSINKI	HEL
HIJ	NEW HIROSHIMA	JAPAN	HIROSHIMA	HIJ
HKG	HONG KONG INT’L	CHINA	HONG KONG	HKG
HLP	HALIM PERDANA KUSUMA	INDONESIA	JAKARTA	JKT
HND	HANEDA	JAPAN	TOKYO	TYO
HNL	HONOLULU INT’L	U.S.A.	HONOLULU	HNL
HOU	HOBBY	U.S.A.	HOUSTON	HOU
IAD	WASHINGTON DULLES INT’L	U.S.A.	WASHINGTON DC	WAS
IAH	INTERCONTINENTAL	U.S.A.	HOUSTON	HOU
IND	INDIANAPOLIS INT’L	U.S.A.	INDIANAPOLIS	IND
ITM	ITAMI	JAPAN	OSAKA	OSA
JED	KING ABDULAZIZ INT’L	SAUDI ARABIA	JEDDAH	JED
JFK	J.F.KENNEDY INT’L	U.S.A.	NEW YORK CITY	NYC
JNB	TAMBO INT’L	S. AFRICA	JOHANNESBURG	JNB
KHH	KAOHSIUNG INT’L	TAIWAN, CHINA	KAOHSIUNG	KHH
KHI	JINNAH INT’L	PAKISTAN	KARACHI	KHI
KIJ	NIIGATA	JAPAN	NIIGATA	KIJ
KIX	KANSAI	JAPAN	OSAKA	OSA
KMQ	KOMATSU	JAPAN	KOMATSU	KMQ
KUL	KUALA LUMPUR INT’L	MALAYSIA	KUALA LUMPUR	KUL
KWI	KUWAIT INT’L	KUWAIT	KUWAIT	KWI
LAX	LOS ANGELES INT’L	U.S.A.	LOS ANGELES	LAX
LGA	LA GUARDIA	U.S.A.	NEW YORK CITY	NYC
LGW	GATWICK	U.K.	LONDON	LON
LHR	HEATHROW	U.K.	LONDON	LON
LIM	JORGE CHAVEZ INT’L	PERU	LIMA	LIM
LIN	LINATE	ITALY	MILAN	MIL
LIS	LISBON	PORTUGAL	LISBON	LIS
LOS	MURTALA MUHAMMED	NIGERIA	LAGOS	LOS
LUX	FINDEL	LUXEMBURG	LUXEMBURG	LUX
LYS	SAINT EXUPERY INT’L	FRANCE	LYON	LYS
MAD	BARAJAS	SPAIN	MADRID	MAD
MAN	MANCHESTER	U.K.	MANCHESTER	MAN
MAO	EDUARDO GOMES INT’L	BRAZIL	MANAUS	MAO
MDW	MIDWAY	U.S.A.	CHICAGO	CHI
MEB	ESSENDON	AUSTRALIA	MELBOURNE	MEL
